Id_zamowienia,Id_klienta,Data_zlozenia,Status
1,0,2022-08-22,Zrealizowane
2,3798,2024-09-12,Zrealizowane
3,0,2024-04-11,Zrealizowane
4,0,2021-11-03,Zrealizowane
5,770,2021-10-22,Anulowane
6,4486,2023-08-21,Zrealizowane
7,4812,2024-07-20,Zrealizowane
8,1075,2024-12-05,Zrealizowane
9,5130,2023-01-20,Zwrot
10,322,2024-09-29,Zrealizowane
11,3550,2022-11-29,Zrealizowane
12,568,2024-03-28,Zrealizowane
13,6496,2022-06-15,Zrealizowane
14,5541,2023-05-21,Zrealizowane
15,2864,2024-06-08,Zrealizowane
16,3112,2023-11-11,Anulowane
17,2778,2024-11-14,Zrealizowane
18,1611,2022-08-14,Zrealizowane
19,0,2020-01-08,Anulowane
20,0,2022-08-16,Odrzucone
21,1373,2024-06-18,Anulowane
22,3167,2020-08-17,Zrealizowane
23,3984,2022-02-08,Zrealizowane
24,3016,2022-06-27,Zrealizowane
25,32,2023-02-06,Zrealizowane
26,0,2021-10-18,Zrealizowane
27,2560,2024-09-18,Zrealizowane
28,1483,2024-12-17,Anulowane
29,5349,2024-11-02,Odrzucone
30,3522,2024-12-11,Zrealizowane
31,0,2023-01-15,Zrealizowane
32,2783,2024-11-20,Anulowane
33,1205,2024-02-27,Zrealizowane
34,5404,2023-01-06,Zrealizowane
35,1847,2023-04-02,Anulowane
36,0,2023-03-17,Zrealizowane
37,0,2022-02-27,Zrealizowane
38,1677,2024-10-28,Zwrot
39,3148,2024-05-20,Zrealizowane
40,3433,2024-10-30,Zrealizowane
41,0,2020-07-04,Zrealizowane
42,3616,2023-03-05,Zrealizowane
43,2510,2022-08-15,Zrealizowane
44,6705,2024-04-29,Zrealizowane
45,1239,2023-05-20,Zrealizowane
46,604,2023-07-21,Anulowane
47,3599,2024-02-26,Zrealizowane
48,3909,2022-07-26,Zwrot
49,6104,2023-06-14,Anulowane
50,1426,2024-12-26,Zrealizowane
51,0,2020-07-05,Odrzucone
52,2479,2023-12-13,Anulowane
53,4936,2021-12-03,Zrealizowane
54,31,2020-09-15,Anulowane
55,3054,2023-01-14,Zrealizowane
56,883,2021-05-04,Zrealizowane
57,1221,2024-09-09,Zrealizowane
58,1089,2024-09-22,Zrealizowane
