Id_produktu,Producent,Nazwa,Pojemnosc,Jednostka,Cena_netto,VAT,Cena_brutto,Cena_strona,Marza,Status
1,HempKing,Maca Bio,90,kapsułki,54.93,0.23,67.56,77.02,0.14,Aktywny
2,Medica Herbs,Witamina E naturalna,300,kapsułki,143.56,0.23,176.58,201.3,0.14,Aktywny
3,Organis,NAC 600mg,90,tabletki,72.66,0.23,89.37,116.18,0.3,Aktywny
4,Aliness,Gotu Kola,300,kapsułki,58.68,0.08,63.37,82.38,0.3,Aktywny
5,Lab One,Żeń-Szeń Koreański,90,kapsułki,70.29,0.08,75.91,93.37,0.23,Aktywny
6,Progress Labs,Saccharomyces Boulardii,250,ml,85.91,0.05,90.21,113.66,0.26,Aktywny
7,UNS,Melatonina 1mg,300,kapsułki,59.02,0.08,63.74,82.86,0.3,Aktywny
8,Pileje,Maślan sodu,60,kapsułki,67.49,0.23,83.01,102.93,0.24,Aktywny
9,Wish,Witamina K2 MK-7,120,tabletki,145.52,0.08,157.16,185.45,0.18,Aktywny
10,Star Life,Ginkgo Biloba,180,tabletki,52.52,0.08,56.72,81.11,0.43,Aktywny
11,Aliness,Witamina D,60,kapsułki,141.37,0.08,152.68,172.53,0.13,Aktywny
12,MyVita,Kurkumina C3,120,tabletki,149.07,0.23,183.36,210.86,0.15,Aktywny
13,Formeds,Miedź Chelatowana,180,kapsułki,79.58,0.23,97.88,111.58,0.14,Aktywny
14,Yango,Omega-3 z alg,50,ml,67.46,0.05,70.83,91.37,0.29,Aktywny
15,Organis,Melatonina 1mg,300,kapsułki,57.78,0.08,62.4,86.11,0.38,Aktywny
16,Solgar,Krzem Organiczny,120,kapsułki,70.26,0.08,75.88,97.89,0.29,Aktywny
17,Sanct Bernhard,NAC 600mg,50,ml,125.95,0.05,132.25,181.18,0.37,Aktywny
18,Invent Farm,Witamina K2 MK-7,250,ml,114.34,0.05,120.06,162.08,0.35,Aktywny
19,Wish,Maca Bio,500,ml,131.17,0.05,137.73,176.29,0.28,Aktywny
20,Pileje,Omega-3 z alg,300,kapsułki,50.32,0.23,61.89,79.84,0.29,Nieaktywny
21,Alto Pharma,Magnez 4 formy,180,tabletki,54.64,0.23,67.21,96.78,0.44,Aktywny
22,Medica Herbs,Kolagen Type II,180,tabletki,124.95,0.23,153.69,199.8,0.3,Aktywny
23,MyVita,Żeń-Szeń Koreański,30,ml,77.77,0.05,81.66,119.22,0.46,Nieaktywny
24,Mito-Pharma,Witamina K2 MK-7,300,tabletki,88.29,0.23,108.6,140.09,0.29,Aktywny
25,HempKing,Bacopa Monnieri,60,tabletki,58.31,0.08,62.97,71.16,0.13,Aktywny
26,UNS,Gotu Kola,300,tabletki,147.87,0.08,159.7,215.59,0.35,Aktywny
27,Inwet Herbs,Bacopa Monnieri,180,kapsułki,66.39,0.08,71.7,91.06,0.27,Nieaktywny
28,Star Life,Koenzym Q10,120,kapsułki,100.82,0.08,108.89,143.73,0.32,Aktywny
29,UNS,Selen + E,30,kapsułki,74.64,0.08,80.61,107.21,0.33,Aktywny
30,Lab One,Ashwagandha Extra,50,ml,107.54,0.05,112.92,160.35,0.42,Aktywny
31,Aliness,Magnez 4 formy,120,tabletki,104.59,0.23,128.65,146.66,0.14,Aktywny
32,Pileje,Miedź Chelatowana,30,ml,133.06,0.05,139.71,169.05,0.21,Aktywny
33,NatVita,Magnez 4 formy,180,tabletki,79.25,0.08,85.59,103.56,0.21,Nieaktywny
34,MyVita,Probiotyk 10 szczepów,90,kapsułki,118.06,0.23,145.21,217.81,0.5,Aktywny
35,Sanct Bernhard,Witamina A,60,kapsułki,50.51,0.08,54.55,68.73,0.26,Aktywny
36,Progress Labs,Gotu Kola,150,ml,89.21,0.05,93.67,119.9,0.28,Aktywny
37,Formeds,Krzem Organiczny,20,ml,92.07,0.05,96.67,142.1,0.47,Nieaktywny
38,Organis,Probiotyk 10 szczepów,300,kapsułki,129.07,0.08,139.4,161.7,0.16,Aktywny
39,Progress Labs,Witamina C,60,tabletki,55.3,0.23,68.02,78.22,0.15,Nieaktywny
40,Health Labs,Melatonina 1mg,60,tabletki,110.73,0.08,119.59,178.19,0.49,Aktywny
41,Health Labs,Ashwagandha Extra,30,tabletki,120.62,0.23,148.36,182.48,0.23,Aktywny
42,Organis,Omega-3 z alg,180,tabletki,128.18,0.08,138.43,167.5,0.21,Aktywny
43,Yango,Ashwagandha Extra,30,ml,101.77,0.05,106.86,151.74,0.42,Aktywny
44,Solgar,Ginkgo Biloba,60,kapsułki,128.12,0.08,138.37,200.64,0.45,Aktywny
45,Mito-Pharma,Maca Bio,300,tabletki,136.05,0.08,146.93,198.36,0.35,Aktywny
46,Organis,Bacopa Monnieri,90,kapsułki,72.62,0.08,78.43,89.41,0.14,Nieaktywny
47,Aliness,Saccharomyces Boulardii,250,ml,95.93,0.05,100.73,141.02,0.4,Aktywny
48,Progress Labs,Maca Bio,500,ml,62.04,0.05,65.14,93.8,0.44,Aktywny
49,HempKing,NAC 600mg,30,kapsułki,93.04,0.23,114.44,162.5,0.42,Aktywny
50,HempKing,Witamina A,150,ml,105.04,0.05,110.29,122.42,0.11,Nieaktywny
51,Formeds,Witamina C,250,ml,86.59,0.05,90.92,121.83,0.34,Aktywny
52,Pileje,Saccharomyces Boulardii,90,kapsułki,116.65,0.08,125.98,186.45,0.48,Aktywny
53,Organis,Bacopa Monnieri,50,ml,58.94,0.05,61.89,81.69,0.32,Aktywny
54,Pileje,Kurkumina C3,1000,ml,126.87,0.05,133.21,173.17,0.3,Aktywny
55,NatVita,Magnez 4 formy,180,kapsułki,105.95,0.08,114.43,140.75,0.23,Aktywny
56,Pharmovit,Witamina K2 MK-7,120,kapsułki,87.45,0.23,107.56,146.28,0.36,Aktywny
57,Mito-Pharma,Bacopa Monnieri,90,kapsułki,64.06,0.08,69.18,78.87,0.14,Aktywny
58,Alto Pharma,Miedź Chelatowana,50,ml,146.42,0.05,153.74,210.62,0.37,Aktywny
59,Pharmovit,Żeń-Szeń Koreański,150,ml,108.78,0.05,114.22,141.63,0.24,Aktywny
60,Wish,Gotu Kola,500,ml,111.17,0.05,116.73,144.75,0.24,Aktywny
61,Skoczylas,NAC 600mg,50,ml,84.76,0.05,89.0,120.15,0.35,Aktywny
62,Progress Labs,Witamina K2 MK-7,20,ml,67.41,0.05,70.78,92.72,0.31,Aktywny
63,Star Life,Ginkgo Biloba,30,ml,54.42,0.05,57.14,74.85,0.31,Nieaktywny
