Id_zamowienia,Przewoznik,Format_dostawy,Status,Data_wysylki
1,UPS,Kurier Pobranie,Dostarczone,2022-08-29
2,UPS,Kurier,Dostarczone,2024-09-17
3,DHL,Kurier Pobranie,Dostarczone,2024-04-16
4,DHL,Paczkomat,Dostarczone,2021-11-08
5,UPS,Kurier,Anulowane,NULL
6,DHL,Kurier,Dostarczone,2023-08-23
7,DPD,Kurier,Dostarczone,2024-07-22
8,InPost,Paczkomat,Dostarczone,2024-12-09
9,UPS,Kurier,Dostarczone,2023-01-23
10,UPS,Kurier,Dostarczone,2024-10-02
11,UPS,Kurier,Dostarczone,2022-12-04
12,DPD,Kurier Pobranie,Dostarczone,2024-03-30
13,UPS,Kurier Pobranie,Dostarczone,2022-06-20
14,DHL,Paczkomat,Dostarczone,2023-05-28
15,DHL,Kurier,Dostarczone,2024-06-19
16,DHL,Paczkomat,Anulowane,NULL
17,DHL,Kurier Pobranie,Dostarczone,2024-11-22
18,DPD,Kurier,Dostarczone,2022-08-21
19,DPD,Kurier,Anulowane,NULL
20,DPD,Kurier,Anulowane,NULL
21,Pocztex,Kurier Pobranie,Anulowane,NULL
22,DHL,Paczkomat,Dostarczone,2020-08-22
23,DHL,Paczkomat,Dostarczone,2022-02-16
24,Pocztex,Kurier,Dostarczone,2022-07-07
25,DPD,Kurier,Dostarczone,2023-02-11
26,InPost,Paczkomat,Dostarczone,2021-10-24
27,Pocztex,Kurier Pobranie,Dostarczone,2024-09-19
28,UPS,Kurier,Anulowane,NULL
29,InPost,Kurier Pobranie,Anulowane,NULL
30,Pocztex,Kurier Pobranie,Dostarczone,2024-12-21
31,UPS,Kurier Pobranie,Dostarczone,2023-01-23
32,DPD,Kurier,Anulowane,NULL
33,Pocztex,Kurier Pobranie,Dostarczone,2024-03-04
34,InPost,Paczkomat,Dostarczone,2023-01-06
35,DHL,Kurier,Anulowane,NULL
36,InPost,Kurier,Dostarczone,2023-03-23
37,InPost,Kurier,Dostarczone,2022-02-28
38,DPD,Kurier,Dostarczone,2024-10-31
39,DPD,Kurier Pobranie,Dostarczone,2024-05-28
40,InPost,Paczkomat,Dostarczone,2024-11-05
41,UPS,Kurier,Dostarczone,2020-07-15
42,Pocztex,Kurier Pobranie,Dostarczone,2023-03-09
43,Pocztex,Kurier,Dostarczone,2022-08-22
44,DPD,Kurier,Dostarczone,2024-05-01
45,DPD,Kurier Pobranie,Dostarczone,2023-05-26
46,UPS,Kurier Pobranie,Anulowane,NULL
47,Pocztex,Kurier Pobranie,Dostarczone,2024-03-03
48,DPD,Kurier Pobranie,Dostarczone,2022-08-01
49,Pocztex,Kurier,Anulowane,NULL
50,InPost,Kurier,Dostarczone,2024-12-29
51,DHL,Kurier Pobranie,Anulowane,NULL
52,InPost,Kurier Pobranie,Anulowane,NULL
53,Pocztex,Kurier Pobranie,Dostarczone,2021-12-08
54,DPD,Kurier,Anulowane,NULL
55,Pocztex,Kurier Pobranie,Dostarczone,2023-01-22
56,DHL,Kurier,Dostarczone,2021-05-09
57,DHL,Kurier,Dostarczone,2024-09-15
58,InPost,Paczkomat,Dostarczone,2024-10-01
59,DPD,Kurier Pobranie,Dostarczone,2024-10-14
60,Pocztex,Kurier Pobranie,Dostarczone,2020-06-04
61,Pocztex,Kurier,Dostarczone,2021-06-17
62,Pocztex,Kurier Pobranie,Dostarczone,2024-03-07
63,DPD,Kurier Pobranie,Dostarczone,2024-04-24
64,UPS,Kurier Pobranie,Dostarczone,2023-08-17
65,UPS,Kurier,Dostarczone,2024-08-27
66,InPost,Kurier Pobranie,Dostarczone,2024-12-05
67,DHL,Paczkomat,Dostarczone,2021-12-15
68,InPost,Kurier Pobranie,Dostarczone,2024-06-24
69,InPost,Kurier,Dostarczone,2020-11-26
70,DHL,Kurier Pobranie,Anulowane,NULL
71,Pocztex,Kurier,Anulowane,NULL
72,UPS,Kurier Pobranie,Anulowane,NULL
73,DPD,Kurier,Dostarczone,2024-05-06
74,DPD,Kurier Pobranie,Dostarczone,2022-08-24
75,InPost,Kurier Pobranie,Dostarczone,2025-01-10
76,InPost,Paczkomat,Dostarczone,2023-01-22
77,InPost,Kurier,Dostarczone,2023-04-21
78,Pocztex,Kurier Pobranie,Dostarczone,2024-08-18
79,DPD,Kurier Pobranie,Anulowane,NULL
80,InPost,Paczkomat,Anulowane,NULL
81,Pocztex,Kurier Pobranie,Dostarczone,2023-02-05
82,DPD,Kurier Pobranie,Dostarczone,2024-06-24
83,DPD,Kurier Pobranie,Dostarczone,2024-12-21
84,InPost,Kurier,Dostarczone,2024-10-09
85,DHL,Paczkomat,Dostarczone,2024-07-23
86,DPD,Kurier Pobranie,Dostarczone,2020-03-30
87,Pocztex,Kurier,Anulowane,NULL
88,DPD,Kurier Pobranie,Dostarczone,2023-05-16
89,DPD,Kurier,Dostarczone,2024-05-30
90,DPD,Kurier Pobranie,Anulowane,NULL
91,InPost,Kurier Pobranie,Dostarczone,2020-03-29
92,DHL,Paczkomat,Dostarczone,2024-09-26
93,DPD,Kurier,Dostarczone,2024-10-07
94,DHL,Kurier Pobranie,Anulowane,NULL
95,DPD,Kurier Pobranie,Dostarczone,2024-07-20
96,InPost,Kurier Pobranie,Dostarczone,2021-01-23
97,Pocztex,Kurier Pobranie,Dostarczone,2023-01-20
98,Pocztex,Kurier Pobranie,Anulowane,NULL
99,Pocztex,Kurier Pobranie,Dostarczone,2021-06-08
100,UPS,Kurier,Dostarczone,2024-06-27
101,DPD,Kurier,Dostarczone,2021-10-29
102,DHL,Kurier Pobranie,Anulowane,NULL
103,InPost,Paczkomat,Dostarczone,2022-08-28
104,UPS,Kurier Pobranie,Anulowane,NULL
105,Pocztex,Kurier,Dostarczone,2021-03-14
106,DHL,Kurier Pobranie,Dostarczone,2023-03-11
107,UPS,Kurier Pobranie,Dostarczone,2024-10-21
108,DHL,Kurier,Dostarczone,2024-01-29
109,InPost,Kurier Pobranie,Dostarczone,2021-07-02
110,DPD,Kurier Pobranie,Dostarczone,2024-05-30
111,Pocztex,Kurier,Dostarczone,2023-06-12
112,Pocztex,Kurier,Dostarczone,2023-04-29
113,UPS,Kurier Pobranie,Dostarczone,2024-05-11
114,DHL,Kurier Pobranie,Dostarczone,2024-11-07
115,DPD,Kurier,Dostarczone,2022-10-09
116,UPS,Kurier Pobranie,Dostarczone,2023-08-25
117,DHL,Kurier Pobranie,Anulowane,NULL
118,UPS,Kurier Pobranie,Anulowane,NULL
119,Pocztex,Kurier Pobranie,Dostarczone,2024-07-05
120,Pocztex,Kurier Pobranie,Anulowane,NULL
121,DHL,Paczkomat,Dostarczone,2024-12-23
122,DPD,Kurier,Dostarczone,2024-12-04
123,DHL,Kurier,Anulowane,NULL
124,UPS,Kurier,Anulowane,NULL
125,Pocztex,Kurier Pobranie,Dostarczone,2023-12-08
126,InPost,Paczkomat,Anulowane,NULL
127,InPost,Kurier,Anulowane,NULL
128,UPS,Kurier,Dostarczone,2020-07-20
129,DPD,Kurier Pobranie,Anulowane,NULL
130,InPost,Kurier Pobranie,Dostarczone,2023-10-18
131,InPost,Paczkomat,Dostarczone,2020-10-15
132,Pocztex,Kurier Pobranie,Anulowane,NULL
133,UPS,Kurier,Anulowane,NULL
134,DHL,Paczkomat,Dostarczone,2021-05-27
135,DPD,Kurier,Dostarczone,2024-02-29
136,DPD,Kurier Pobranie,Dostarczone,2023-09-21
137,InPost,Kurier Pobranie,Dostarczone,2024-10-12
138,DHL,Kurier,Anulowane,NULL
139,Pocztex,Kurier Pobranie,Dostarczone,2024-08-23
140,DPD,Kurier,Dostarczone,2023-10-20
141,UPS,Kurier,Dostarczone,2024-02-16
142,DPD,Kurier Pobranie,Dostarczone,2022-10-01
143,DPD,Kurier Pobranie,Dostarczone,2024-11-12
144,UPS,Kurier Pobranie,Dostarczone,2024-01-08
145,DPD,Kurier Pobranie,Dostarczone,2023-10-04
146,UPS,Kurier Pobranie,Dostarczone,2020-09-11
147,UPS,Kurier Pobranie,Dostarczone,2024-11-12
148,DHL,Kurier,Dostarczone,2024-11-29
149,DPD,Kurier Pobranie,Anulowane,NULL
150,Pocztex,Kurier Pobranie,Dostarczone,2022-10-17
151,InPost,Kurier Pobranie,Dostarczone,2024-06-27
152,DPD,Kurier Pobranie,Dostarczone,2023-11-20
153,DPD,Kurier,Dostarczone,2024-04-13
154,DHL,Kurier,Dostarczone,2023-03-23
155,DPD,Kurier Pobranie,Dostarczone,2023-11-07
156,Pocztex,Kurier Pobranie,Dostarczone,2023-11-01
157,Pocztex,Kurier,Dostarczone,2021-04-08
158,Pocztex,Kurier Pobranie,Dostarczone,2024-12-17
159,DPD,Kurier,Dostarczone,2022-03-14
160,DHL,Paczkomat,Dostarczone,2024-12-12
161,DPD,Kurier Pobranie,Dostarczone,2024-12-22
162,UPS,Kurier Pobranie,Dostarczone,2023-06-17
163,UPS,Kurier Pobranie,Dostarczone,2024-09-09
164,DPD,Kurier Pobranie,Dostarczone,2021-11-26
165,DPD,Kurier,Dostarczone,2024-10-09
166,Pocztex,Kurier,Dostarczone,2023-07-15
167,InPost,Kurier,Dostarczone,2023-08-10
168,Pocztex,Kurier,Dostarczone,2023-07-21
169,InPost,Paczkomat,Dostarczone,2024-02-10
170,DPD,Kurier,Anulowane,NULL
171,DHL,Paczkomat,Dostarczone,2024-02-10
172,Pocztex,Kurier Pobranie,Dostarczone,2021-08-27
173,DHL,Kurier,Dostarczone,2022-01-09
174,DPD,Kurier Pobranie,Anulowane,NULL
175,Pocztex,Kurier,Dostarczone,2020-11-12
176,InPost,Kurier Pobranie,Anulowane,NULL
177,DPD,Kurier Pobranie,Anulowane,NULL
178,DPD,Kurier,Anulowane,NULL
179,DHL,Paczkomat,Dostarczone,2020-07-23
180,DHL,Kurier Pobranie,Dostarczone,2023-02-08
